Bulk_Density,CEC,Clay_Content,Coarse_Fragments,Dist_Fault,Dist_River,Dist_Road,Geology_Nepal_ID,Geology_geo8apg_ID,LULC,NDVI,Nitrogen,Sand_Content,Silt_Content,Soil_Organic_Carbon,Soil_pH,aspect,date,elevation,precipitation,rainfall_360d,rainfall_7d,slope,longitude,latitude
128,154,275,125,11873.21371984066,1120.3414729626652,1562.8008010733772,003,0,10,6934.217391304348,2389,310,415,313,58,293.8703916555304,2024-01-01,276,0,1582.3269444704056,0.0,4.574204731715258,84.48306358183932,27.74326366363796
128,154,275,125,11873.21371984066,1120.3414729626652,1562.8008010733772,003,0,10,6934.217391304348,2389,310,415,313,58,190.6648396405078,2024-01-01,275,0,1582.3269444704056,0.0,5.644430189936982,84.48306358183932,27.74426366363796
128,161,280,144,11687.610022435301,1343.9359807515132,1391.863014433778,003,0,10,7008.521739130435,2362,304,416,311,58,257.5239308867061,2024-01-01,283,0,1582.3269444704056,0.0,8.523183148102,84.48306358183932,27.745263663637957
128,161,280,144,11687.610022435301,1343.9359807515132,1391.863014433778,003,0,10,7008.521739130435,2362,304,416,311,58,270.0,2024-01-01,287,0,1582.3269444704056,0.0,1.0478754031863977,84.48306358183932,27.74626366363796
127,163,280,135,11504.384712509622,1374.6049867214358,1221.1224762630798,003,0,10,6942.04347826087,2193,311,409,310,57,311.50915662412297,2024-01-01,281,0,1582.3269444704056,0.0,8.33752682846999,84.48306358183932,27.74726366363796
127,163,280,135,11504.384712509622,1374.6049867214358,1221.1224762630798,003,0,10,6942.04347826087,2193,311,409,310,57,161.2742354083102,2024-01-01,286,0,1582.3269444704056,0.0,9.699573775913715,84.48306358183932,27.748263663637957
126,176,263,144,11323.653250162037,1209.3415957481,1057.1832897554382,003,0,10,6922.0,2437,330,408,327,57,109.49380324231662,2024-01-01,299,0,1582.3269444704056,0.0,5.541406284799805,84.48306358183932,27.74926366363796
126,176,263,144,11323.653250162037,1209.3415957481,1057.1832897554382,003,0,10,6922.0,2437,330,408,327,57,62.03208997030007,2024-01-01,295,0,1582.3269444704056,0.0,5.911997946135985,84.48306358183932,27.75026366363796
126,139,286,145,11145.536960964222,1059.722494845707,929.4384589126344,003,0,10,6859.260869565217,2414,285,429,321,57,90.0,2024-01-01,293,0,1582.3269444704056,0.0,1.0479208300041314,84.48306358183932,27.751263663637957
123,138,280,149,11145.536960964222,1059.722494845707,929.4384589126344,003,0,10,6859.260869565217,2411,283,436,344,57,97.75310174551369,2024-01-01,297,0,1582.3269444704056,0.0,13.49510850435812,84.48306358183932,27.75226366363796
123,138,280,149,11145.536960964222,1059.722494845707,929.4384589126344,003,0,10,6859.260869565217,2411,283,436,344,57,90.0,2024-01-01,298,0,1582.3269444704056,0.0,3.141026806787782,84.48306358183932,27.75326366363796
122,137,284,142,10970.16323627929,952.4261371168932,823.0565267562271,003,0,10,6545.434782608696,2478,285,431,309,58,180.0,2024-01-01,302,0,1582.3269444704056,0.0,0.9274099368611016,84.48306358183932,27.754263663637957
